Run,costO,costS,Strategy,PI,RS
232,1,0.5,Revealers,5327.64,6.32
233,1,0.5,Concealers,6603.98,6.78
233,1,0.5,Revealers,4361.48,5.82
234,1,0.5,Concealers,6426.84,6.74
234,1,0.5,Revealers,4444.54,5.9
235,1,0.5,Concealers,6396.92,6.68
235,1,0.5,Revealers,4491.4,5.78
236,1,0.5,Concealers,8419.86,7.9
236,1,0.5,Revealers,5494.58,6.52
237,1,0.5,Concealers,8398.9,7.9
237,1,0.5,Revealers,5654.4,6.52
238,1,0.5,Concealers,6174.22,6.72
238,1,0.5,Revealers,4709.28,6.08
239,1,0.5,Concealers,6535.28,6.82
239,1,0.5,Revealers,4212.64,5.8
240,1,0.5,Concealers,8476.68,7.98
240,1,0.5,Revealers,5814.68,6.62
241,1,1,Concealers,7002.88,7.24
241,1,1,Revealers,5809.32,6.62
242,1,1,Concealers,7615.24,7.44
242,1,1,Revealers,5778.78,6.72
243,1,1,Concealers,8121.76,7.7
243,1,1,Revealers,5392.72,6.36
244,1,1,Concealers,8037.14,7.78
244,1,1,Revealers,5490.52,6.56
245,1,1,Concealers,7112.8,7.22
245,1,1,Revealers,5560.24,6.52
246,1,1,Concealers,8242.86,7.78
246,1,1,Revealers,6296.2,6.88
247,1,1,Concealers,7592.82,7.48
247,1,1,Revealers,7415.98,7.26
248,1,1,Concealers,7014.96,7.26
248,1,1,Revealers,5381.06,6.36
249,1,1,Concealers,7214.04,7.22
249,1,1,Revealers,4965.26,6.2
250,1,1,Concealers,6787.2,7.1
250,1,1,Revealers,5096.86,6.18
251,1,1,Concealers,7387.34,7.38
251,1,1,Revealers,5568.66,6.56
252,1,1,Concealers,7172.56,7.2
252,1,1,Revealers,5649.8,6.4
253,1,1,Concealers,6740.86,6.74
253,1,1,Revealers,4459.26,5.86
254,1,1,Concealers,7619.92,7.48
254,1,1,Revealers,5663.4,6.4
255,1,1,Concealers,7118.58,7.14
255,1,1,Revealers,5176.82,6.28
256,1,1,Concealers,7974.38,7.72
256,1,1,Revealers,6484.48,6.96
257,1,1,Concealers,7551.88,7.46
257,1,1,Revealers,6874.2,7.12
258,1,1,Concealers,6930.32,6.8
258,1,1,Revealers,4434.64,5.78
259,1,1,Concealers,7936.86,7.6
259,1,1,Revealers,5184.24,6.3
260,1,1,Concealers,6935.62,7.06
260,1,1,Revealers,5477.28,6.42
261,1,1.5,Concealers,7072.26,7.46
261,1,1.5,Revealers,7080.48,7.28
262,1,1.5,Concealers,7410.58,7.5
262,1,1.5,Revealers,7225.04,7.38
263,1,1.5,Concealers,7720.78,7.66
263,1,1.5,Revealers,8234.08,7.94
264,1,1.5,Concealers,8003.26,7.82
264,1,1.5,Revealers,7681.78,7.62
265,1,1.5,Concealers,7257.34,7.46
265,1,1.5,Revealers,6881.9,7.28
266,1,1.5,Concealers,8228.64,7.92
266,1,1.5,Revealers,7906.68,7.76
267,1,1.5,Concealers,7253.06,7.5
267,1,1.5,Revealers,7484.56,7.58
268,1,1.5,Concealers,7288.22,7.52
268,1,1.5,Revealers,7670.02,7.66
269,1,1.5,Concealers,7861.54,7.74
269,1,1.5,Revealers,7860.04,7.6
270,1,1.5,Concealers,7392.32,7.5
270,1,1.5,Revealers,6787.54,7.28
271,1,1.5,Concealers,7187.3,7.32
271,1,1.5,Revealers,7851.46,7.8
272,1,1.5,Concealers,7885.82,7.68
272,1,1.5,Revealers,8477.56,7.9
273,1,1.5,Concealers,8021.14,7.78
273,1,1.5,Revealers,7359.94,7.42
274,1,1.5,Concealers,7441.96,7.54
274,1,1.5,Revealers,7850.34,7.72
275,1,1.5,Concealers,7553.32,7.58
275,1,1.5,Revealers,7315.86,7.5
276,1,1.5,Concealers,8034.84,7.92
276,1,1.5,Revealers,7888.66,7.7
277,1,1.5,Concealers,8369.08,7.96
277,1,1.5,Revealers,7710.82,7.66
278,1,1.5,Concealers,7874.18,7.74
278,1,1.5,Revealers,7645.38,7.7
279,1,1.5,Concealers,7844.66,7.7
279,1,1.5,Revealers,7351.12,7.44
280,1,1.5,Concealers,7701.24,7.58
280,1,1.5,Revealers,7980.86,7.74
281,1,2,Concealers,7276.52,7.56
281,1,2,Revealers,7510.64,7.58
282,1,2,Concealers,7236.56,7.34
282,1,2,Revealers,8010.4,7.82
283,1,2,Concealers,7564.72,7.64
283,1,2,Revealers,7275.1,7.46
284,1,2,Concealers,7915.14,7.82
284,1,2,Revealers,7504.8,7.54
285,1,2,Concealers,7834.8,7.72
285,1,2,Revealers,7267.28,7.42
286,1,2,Concealers,8246.5,7.84
286,1,2,Revealers,7447.42,7.54
287,1,2,Concealers,7385.22,7.48
287,1,2,Revealers,7500.96,7.64
288,1,2,Concealers,8479.2,7.98
288,1,2,Revealers,7711.08,7.64
289,1,2,Concealers,7303.1,7.44
289,1,2,Revealers,7709.28,7.68
290,1,2,Concealers,8299.52,7.92
290,1,2,Revealers,8477.66,8.04
291,1,2,Concealers,7783.16,7.72
291,1,2,Revealers,7755.2,7.68
292,1,2,Concealers,7820.76,7.78
292,1,2,Revealers,7091.72,7.3
293,1,2,Concealers,7649.84,7.54
293,1,2,Revealers,8120.36,7.92
294,1,2,Concealers,8256.56,7.92
294,1,2,Revealers,8318.46,7.92
295,1,2,Concealers,8374.7,7.94
295,1,2,Revealers,7929.8,7.86
296,1,2,Concealers,7490.96,7.66
296,1,2,Revealers,7658.32,7.6
297,1,2,Concealers,6818.92,7.3
297,1,2,Revealers,7258.1,7.5
298,1,2,Concealers,6976.58,7.28
298,1,2,Revealers,7450.5,7.58
299,1,2,Concealers,7476.56,7.58
299,1,2,Revealers,7844.82,7.76
300,1,2,Concealers,7660.96,7.68
300,1,2,Revealers,8632.4,8.06
301,1.5,0,Concealers,7627.04,7.52
301,1.5,0,Revealers,6215.84,6.8
302,1.5,0,Concealers,7643.46,7.48
302,1.5,0,Revealers,6094.16,6.66
303,1.5,0,Concealers,7628.24,7.42
303,1.5,0,Revealers,5332.34,6.38
304,1.5,0,Concealers,7334.4,7.3
304,1.5,0,Revealers,5643.16,6.52
305,1.5,0,Concealers,6378.06,6.6
305,1.5,0,Revealers,4038.96,5.64
306,1.5,0,Concealers,7343.36,7.42
306,1.5,0,Revealers,5871.76,6.62
307,1.5,0,Concealers,8397.28,7.92
307,1.5,0,Revealers,5659.26,6.58
308,1.5,0,Concealers,8122.28,7.72
308,1.5,0,Revealers,6359.02,6.96
309,1.5,0,Concealers,6960.22,7.06
309,1.5,0,Revealers,4978.16,6.22
310,1.5,0,Concealers,7651.06,7.42
310,1.5,0,Revealers,7408.64,7.36
311,1.5,0,Concealers,7549.02,7.5
311,1.5,0,Revealers,6688.12,7.04
312,1.5,0,Concealers,6821.4,7.16
312,1.5,0,Revealers,6339.94,6.86
313,1.5,0,Concealers,7441.44,7.38
313,1.5,0,Revealers,5815.56,6.56
314,1.5,0,Concealers,7783.76,7.58
314,1.5,0,Revealers,6757.44,7.04
315,1.5,0,Concealers,7276.28,7.18
315,1.5,0,Revealers,4733.02,6
316,1.5,0,Concealers,7981.56,7.62
316,1.5,0,Revealers,6210.26,6.82
317,1.5,0,Concealers,7541.28,7.34
317,1.5,0,Revealers,5770.98,6.56
318,1.5,0,Concealers,8631.54,7.9
318,1.5,0,Revealers,5278.18,6.4
319,1.5,0,Concealers,7570.1,7.28
319,1.5,0,Revealers,5877.02,6.62
320,1.5,0,Concealers,7113.76,7.22
320,1.5,0,Revealers,5460.6,6.34
321,1.5,0.5,Concealers,8303.4,7.84
321,1.5,0.5,Revealers,5656.42,6.5
322,1.5,0.5,Concealers,8843.36,8.1
322,1.5,0.5,Revealers,6622.78,7.04
323,1.5,0.5,Concealers,6572.04,6.78
323,1.5,0.5,Revealers,4092.46,5.62
