Experiment,Run,Decrement,Strategy,PI,RS
2,4,FALSE,Concealers,7538.12,7.42
2,4,FALSE,Revealers,7315.1,7.34
2,5,FALSE,Concealers,7117.4,7.4
2,5,FALSE,Revealers,7255.34,7.3
2,6,FALSE,Concealers,7961.92,7.78
2,6,FALSE,Revealers,7229.14,7.24
2,7,FALSE,Concealers,7931.72,7.7
2,7,FALSE,Revealers,7356.42,7.42
2,8,FALSE,Concealers,7184.5,7.38
2,8,FALSE,Revealers,6734.22,7.16
2,9,FALSE,Concealers,6795.62,7.16
2,9,FALSE,Revealers,7777.26,7.62
2,10,FALSE,Concealers,7073.12,7.34
2,10,FALSE,Revealers,7719.34,7.6
2,11,FALSE,Concealers,7579.48,7.52
2,11,FALSE,Revealers,6898.14,7.22
2,12,FALSE,Concealers,6241.98,6.8
2,12,FALSE,Revealers,7267,7.42
2,13,FALSE,Concealers,6865.84,7.26
2,13,FALSE,Revealers,8253.92,7.76
2,14,FALSE,Concealers,8518.38,7.9
2,14,FALSE,Revealers,7245.78,7.3
2,15,FALSE,Concealers,7840.06,7.58
2,15,FALSE,Revealers,7114.22,7.38
2,16,FALSE,Concealers,7756.32,7.46
2,16,FALSE,Revealers,7580.4,7.48
2,17,FALSE,Concealers,7401.74,7.46
2,17,FALSE,Revealers,7671.86,7.52
2,18,FALSE,Concealers,7687.64,7.58
2,18,FALSE,Revealers,6695.52,7.08
2,19,FALSE,Concealers,6868.76,7.24
2,19,FALSE,Revealers,6797.28,7.08
2,20,FALSE,Concealers,7358.18,7.36
2,20,FALSE,Revealers,7100.64,7.32
2,21,FALSE,Concealers,6766.22,7.04
2,21,FALSE,Revealers,7182.92,7.22
2,22,FALSE,Concealers,6497.16,6.94
2,22,FALSE,Revealers,7716.52,7.54
2,23,FALSE,Concealers,8364.72,7.8
2,23,FALSE,Revealers,6870.02,7.2
2,24,FALSE,Concealers,6963.5,7.26
2,24,FALSE,Revealers,6948.2,7.2
2,25,FALSE,Concealers,7038.24,7.22
2,25,FALSE,Revealers,7994.38,7.72
2,26,FALSE,Concealers,6928.76,7.24
2,26,FALSE,Revealers,7324.96,7.28
2,27,FALSE,Concealers,7131.3,7.34
2,27,FALSE,Revealers,7243.28,7.32
2,28,FALSE,Concealers,7476.32,7.32
2,28,FALSE,Revealers,7096.56,7.4
2,29,FALSE,Concealers,7895.18,7.52
2,29,FALSE,Revealers,6946.48,7.26
2,30,FALSE,Concealers,7170.08,7.38
2,30,FALSE,Revealers,7443.68,7.52
2,31,FALSE,Concealers,7068.74,7.22
2,31,FALSE,Revealers,7997.7,7.6
2,32,FALSE,Concealers,7685.88,7.56
2,32,FALSE,Revealers,7529.74,7.42
2,33,FALSE,Concealers,6976.66,7.2
2,33,FALSE,Revealers,7587.54,7.48
2,34,FALSE,Concealers,8017.94,7.66
2,34,FALSE,Revealers,7146.24,7.26
2,35,FALSE,Concealers,8300.22,7.9
2,35,FALSE,Revealers,7404.58,7.52
2,36,FALSE,Concealers,7029.52,7.22
2,36,FALSE,Revealers,6863.7,7.18
2,37,FALSE,Concealers,6926.76,7.24
2,37,FALSE,Revealers,7383.1,7.5
2,38,FALSE,Concealers,7360.82,7.52
2,38,FALSE,Revealers,6945.58,7.18
2,39,FALSE,Concealers,8098.2,7.56
2,39,FALSE,Revealers,7476.66,7.42
2,40,FALSE,Concealers,7735.94,7.58
2,40,FALSE,Revealers,6729.6,7.06
2,41,FALSE,Concealers,7481.44,7.48
2,41,FALSE,Revealers,7274.04,7.28
2,42,FALSE,Concealers,6703.3,7.16
2,42,FALSE,Revealers,7914.02,7.6
2,43,FALSE,Concealers,7255.18,7.4
2,43,FALSE,Revealers,7206.6,7.18
2,44,FALSE,Concealers,7044.42,7.22
2,44,FALSE,Revealers,8096.5,7.76
2,45,FALSE,Concealers,7044.8,7.28
2,45,FALSE,Revealers,8121.38,7.82
2,46,FALSE,Concealers,8201.84,7.74
2,46,FALSE,Revealers,6615.66,7.06
2,47,FALSE,Concealers,8034.4,7.64
2,47,FALSE,Revealers,6396.6,7
2,48,FALSE,Concealers,7530.48,7.44
2,48,FALSE,Revealers,7338.1,7.3
2,49,FALSE,Concealers,6632.68,7.12
2,49,FALSE,Revealers,7427.08,7.34
2,50,FALSE,Concealers,6724.38,7.18
2,50,FALSE,Revealers,6984.44,7.22
2,51,FALSE,Concealers,7552.12,7.68
